unit,model,year,km,dealer_id,client
9649,2628 LWB,2025,3952,centurion,
9675,2628 LWB,2025,24702,centurion,
9676,2628 LWB,2025,19594,centurion,Montshe
9677,2628 LWB,2025,6562,centurion,Tb Lebello
9678,2628 LWB,2025,5578,centurion,Busani
9679,2628 LWB,2025,911,ermelo,Thor Drilling
9680,2628 K,2025,15280,empangeni,Zoma
9681,2628 K,2025,17481,empangeni,Zoma
9682,2628 K,2025,18211,empangeni,Zoma
9683,2628 K,2025,27955,empangeni,Zoma
9684,2628 K,2025,26923,empangeni,Zoma
9685,2628 K,2025,25935,empangeni,Zoma
9686,2628 K,2025,26591,empangeni,Zoma
9687,2628 K,2025,23880,empangeni,Zoma
9688,2628 K,2025,391,empangeni,Zoma
9689,2628 K,2025,1716,empangeni,Zoma
9690,2628 LWB,2025,30307,centurion,
9691,2628 LWB,2025,8723,ermelo,
9692,2628 LWB,2025,10320,ermelo,
9693,2628 LWB,2025,3201,wonderboom,
9694,2628 LWB,2025,6309,pmb,Pmb Equipment 
9695,2628 LWB,2025,3994,centurion,Phezulu
9696,2628 LWB,2025,6594,centurion,Ned Courier
9698,2628 LWB,2025,3777,brakpan,Rbt
9699,2628 LWB,2025,12188,wonderboom,
9700,1729 A 4x4,2025,561,centurion,
9701,1729 A 4x4,2025,943,pinetown,
9702,1729 A 4x4,2025,1021,botswana,Kleinhans Assoc
9704,1729 A 4x4,2025,10186,pmb,Kleinhans Assoc Pmb Equipment
9705,4035 B 8x4,2025,13316,pmb,High End Constr Pmb
9707,4035 B 8x4,2025,11946,pmb,High End Construct Pmb Equipment
9708,4035 B 8x4,2025,10238,pmb,High End Construct Pmb Equipment
9719,4035 B 8x4,2025,11245,pinetown,
9720,4035 B 8x4,2025,3066,pinetown,
9721,4035 B 8x4,2025,3174,namibia_windhoek,
9722,4035 B 8x4,2025,265121,namibia_windhoek,Namibia
9723,4035 B 8x4,2025,265121,namibia_windhoek,Namibia
9724,4035 B 8x4,2025,265121,namibia_windhoek,Namibia
9725,4035 B 8x4,2025,14898,pmb,Pmb Equipment
9726,4035 B 8x4,2025,15101,pmb,Zamisa Plant Hire Equipment
9727,4035 B 8x4,2025,8641,bloemfontein,
9728,4035 B 8x4,2025,413,pmb,Star Of Life Pmb Equipment
9729,4035 B 8x4,2025,14284,pmb,Pmb Equipment
9731,2628 K,2025,16427,wonderboom,
9732,2628 K,2020,13100,wonderboom,
9734,2628 K,2025,2456,centurion,
9735,2628 K,2025,30848,centurion,
9736,2628 K,2025,24589,centurion,Lesendi
9737,2628 K,2025,20896,pmb,Ld Lindani Pmb Equipment
9738,2628 K,2025,51981,pmb,Bheko  Trading Pmb Equipment
9739,2628 K,2025,43024,pmb,Bheko Trading Pmb Equipment
9741,2628 K,2025,29068,pmb,Magaduzela Pmb Equipment
9742,2628 K,2025,13787,pmb,Ndameni Tradieng Pmb Equipment
9743,2628 K,2025,15079,centurion,Ntuzuma
9745,2628 K,2025,10338,pmb,Pmb Equipment
9746,2628 K,2025,3505,namibia_swakopmund,Namibia
9747,2628 K,2025,2572,namibia_windhoek,Namibia
9748,2628 K,2025,15255,centurion,
9749,2628 K,2025,7120,centurion,
9750,2628 K,2025,13707,brakpan,Ntebeleni Logistics
9751,2628 K,2025,9467,empangeni,Maphuzang
9752,2628 K,2025,15409,centurion,Rrr Projects
9753,2628 K,2025,11809,empangeni,Newlyn
9754,2628 K,2025,7317,empangeni,Newlyn
9755,2628 K,2025,5466,empangeni,Newlyn
9756,2628 K,2025,9428,empangeni,Newlyn
9757,2628 K,2025,9971,empangeni,Newlyn
9758,2628 K,2025,25994,empangeni,Newlyn
9759,2628 K,2025,8974,empangeni,Newlyn
9760,2628 K,2025,543,empangeni,Newlyn
9761,2628 LWB,2025,8464,centurion,Sigba
9762,2628 LWB,2025,7258,centurion,Sigba
9763,2628 LWB,2025,740,ermelo,
9764,2628 LWB,2025,751,ermelo,
9765,2628 LWB,2025,707,ermelo,
9766,2628 LWB,2025,0,centurion,
9767,2628 LWB,2025,10301,middelburg,
9768,2628 LWB,2025,4475,middelburg,
9771,2628 LWB,2025,3622,george,
9772,2628 LWB,2025,22525,centurion,
9773,2628 LWB,2025,14818,middelburg,Mayivuthe
9774,2628 LWB,2025,34356,brackenfell,
9775,2628 LWB,2025,15010,centurion,
9776,2628 LWB,2025,40258,centurion,Somhlolo
